Comment,Designator,Footprint,Qty,LCSC Part Number,Digikey Part Number,Comment
100nF,"C48,C34,C56,C11,C41,C8,C9,C13,C27,C12,C15,C42,C35,C3,C20,C49,C28,C4,C14,C5,C10,C55,C21",0603,23,C282519,2679-C0603X7R500-104KNP-CT-ND,
4.7nF,"C36,C57,C22,C29,C43,C50",0603,6,,1292-1440-1-ND,
1uF,"C7,C6",0603,2,C26413,2679-C0603X5R100-105KNE-CT-ND,
10uF,"C17,C16",0603,2,C19702,1292-0603X106M6R3CT-ND,
1k,"R19,R2,R5",0603,3,C269704,13-RC0603JR-101KLCT-ND,
60,"R12,R18,R16,R17,R14,R11,R8,R7,R9,R10,R13,R15",0603,12,,,
27,"R4,R3",0603,2,C2770847,2019-RK73B1JTTD270JCT-ND,
10k,R1,0603,1,C3017715,13-RC0603FR-7W10KLCT-ND,
MCP251863T-E/9PX,"U8,U4,U9,U7,U6,U5",VQFN28_9PX_3p25X3p25EPAD_MCH,6,C20295647,150-MCP251863T-E/9PXCT-ND,Not sure if we can use from LCSC (min order 500)
W25Q128JVS,U2,SOIC-8,1,C97521,W25Q128JVSIQ-ND,
MIC5504-3.3YM5,U3,SOT-23-5,1,C3021093,576-4764-1-ND,
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,C2040,2648-SC0914(13)CT-ND,
40MHz (18p load),"Y7,Y3,Y5,Y4,Y2,Y6",SMD3225-4P,6,C1985459,535-10281-1-ND,
18pF,"C54,C33,C25,C53,C32,C40,C18,C19,C26,C39,C47,C46",0603,12,C527046,2679-C0603C0G250-180JNP-CT-ND,
12 MHz (15p load),Y1,SMD3225-4P,1,C20625731,535-ABM8-272-T3CT-ND,
15pF,"C2,C1",0603,2,C302055,1292-1487-1-ND,
NMOS,Q1,SOT-323_SC-70,1,,,
LED,D1,0603,1,,,
