Comment,Designator,Footprint,LCSC Part Number,
100nF,"C48,C34,C56,C11,C41,C8,C9,C13,C27,C12,C15,C42,C35,C3,C20,C49,C28,C4,C14,C5,C10,C55,C21",603,C282519,
560pF,"C51,C22,C36,C43,C50,C30,C23,C57,C58,C44,C29,C37",603,C97881,
1uF,"C7,C6",603,C26413,
10uF,"C17,C16",603,C19702,
1k,"R2,R5",603,C269704,
100,"R12,R15,R18,R9,R7,R16,R17,R14,R11,R13,R8,R10",603,C128780,
27,"R4,R3",603,C2770847,
10k,R1,603,C3017715,
MCP251863T-E/9PX,"U8,U4,U9,U7,U6,U5",VQFN28_9PX_3p25X3p25EPAD_MCH,C20295647,Not sure if we can use (min order 500)
W25Q128JVS,U2,SOIC-8,C97521,
MIC5504-3.3YM5,U3,SOT-23-5,C3021093,
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,
40MHz (18p load),"Y7,Y3,Y5,Y4,Y2,Y6",SMD3225-4P,C1985459,
18pF,"C54,C33,C25,C53,C32,C40,C18,C19,C26,C39,C47,C46",603,C527046,
12 MHz (15p load),Y1,SMD3225-4P,C20625731,
15pF,"C2,C1",603,C302055,
